id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,999,853,963,999,991
2,995,855,960,995,996
3,992,859,968,993,995
4,996,857,966,992,993
5,999,862,961,999,996
6,992,867,966,992,993
7,999,857,963,998,993
8,996,850,966,996,983
9,999,848,963,998,972
10,995,852,961,990,965
11,999,848,963,999,968
13,999,870,965,999,986
14,997,877,964,995,986
33,999,829,962,999,992
34,993,842,964,995,991
35,1000,854,965,1000,985
36,995,863,962,995,991
45,992,883,965,994,990
46,996,865,967,996,985
47,998,854,963,999,984
48,995,859,964,997,986
49,996,864,966,994,989
50,999,868,963,1000,985
51,995,862,960,999,991
52,992,835,966,993,994
72,995,834,962,995,994
73,999,868,960,999,996
74,995,876,960,995,996
75,993,878,964,993,998
77,999,880,967,997,993
78,998,875,966,996,993
79,994,857,966,993,997
80,993,863,966,993,987
81,995,861,962,995,980
82,997,863,964,995,987
83,996,859,964,995,996
84,995,862,964,995,994
85,995,861,966,992,995
86,993,859,966,993,983
87,998,854,967,996,987
88,999,857,967,998,992
89,999,862,961,999,988
90,999,858,961,999,984
91,997,860,960,999,990
92,999,850,963,999,988
93,993,851,966,992,991
94,999,852,963,999,993
95,993,855,964,992,989
96,996,855,964,997,935
97,992,855,966,993,935
98,1000,852,967,1000,873
99,999,858,963,1000,925
100,998,853,966,996,875
101,996,856,967,991,875
102,998,856,967,998,896
103,999,854,965,998,895
104,999,856,963,998,900
105,998,857,964,998,887
106,999,860,963,999,892
107,996,861,966,994,902
109,999,865,963,998,904
110,999,868,963,1002,904
111,999,866,965,1000,905
112,996,875,967,992,903
113,996,864,967,994,889
114,997,865,966,996,909
115,997,862,966,995,929
116,996,858,966,995,929
117,996,870,966,995,992
118,992,864,967,992,987
119,995,863,960,995,997
120,996,861,966,991,993
121,992,857,967,992,995
122,996,855,968,992,983
123,993,855,964,993,991
124,995,858,964,995,991
125,993,854,964,993,996
126,995,860,960,995,998
127,998,853,964,999,996
128,998,854,965,998,992
129,998,853,965,998,992
130,995,855,966,992,987
131,999,863,961,999,972
132,999,860,963,1002,968
133,993,859,965,993,974
134,994,859,967,992,969
135,998,860,966,996,872
136,998,864,966,996,869
137,999,864,963,997,869
138,999,864,963,999,868
139,999,860,963,1002,868
140,994,863,967,994,870
141,995,863,965,997,901
142,1002,866,963,999,873
143,1000,865,967,996,865
144,992,864,967,992,867
145,995,865,964,996,890
146,1000,864,966,996,901
147,996,875,966,994,959
148,998,885,965,996,969
149,997,871,962,997,986
150,990,867,967,988,987
151,995,868,961,997,994
152,998,865,965,997,992
153,992,861,966,992,995
154,993,862,965,995,996
155,995,862,961,999,991
156,1001,862,963,1002,989
157,997,881,966,994,992
158,992,869,966,993,994
159,995,862,960,995,996
161,992,861,966,992,993
162,995,863,959,995,998
163,1001,873,963,998,985
164,993,871,964,995,991
165,999,862,961,999,988
166,998,853,966,996,989
167,993,855,966,995,990
168,999,852,963,998,981
169,994,855,967,990,979
172,992,839,968,993,987
175,993,851,964,993,991
176,993,849,964,993,994
177,993,847,966,993,993
178,998,850,965,998,988
179,996,849,966,996,989
180,993,851,964,993,991
181,995,852,961,995,991
182,997,852,963,998,989
183,993,850,960,995,991
184,999,849,963,1000,985
185,997,850,963,997,990
186,999,849,963,1000,985
187,993,851,964,993,993
188,996,853,966,993,989
189,996,849,967,996,987
190,994,851,966,993,991
191,994,855,968,995,992
192,996,853,967,994,993
193,995,855,964,995,994
194,1002,850,967,1000,988
195,995,855,968,996,991
196,999,856,965,999,990
197,996,855,969,996,991
198,997,857,965,997,991
199,998,856,967,998,989
200,993,851,968,993,994
201,999,854,963,999,990
202,998,856,967,998,989
203,997,854,964,995,991
204,998,854,963,999,988
205,997,854,966,997,992
206,1000,853,967,998,989
207,995,854,968,993,994
208,999,856,967,999,989
209,995,855,968,995,996
210,999,856,965,1001,990
211,994,855,968,995,992
212,999,856,964,999,991
213,996,855,967,992,993
214,998,856,965,998,991
215,999,856,963,999,991
216,1001,850,965,1002,988
